IQ	hours per day	GPA
97	16	3.08
115	14	3.27
100	4	2.22
91	8	2.35
135	13	3.58
94	15	2.95
140	8	3.29
101	4	2.24
104	16	3.22
125	11	3.23
115	10	2.97
144	1	2.83
123	9	3.04
129	3	2.7
143	13	3.73
104	5	2.37
128	2	2.6
92	10	2.53
90	2	1.88
125	11	3.23
144	11	3.6
105	16	3.23
110	4	2.41
116	12	3.14
125	1	2.47
132	15	3.67
133	5	2.93
107	3	2.28
95	1	1.89
128	12	3.37
144	14	3.83
144	8	3.37
112	15	3.29
87	5	2.05
96	3	2.07
87	5	2.05
143	5	3.12
112	8	2.76
121	10	3.08
138	9	3.33
86	8	2.26
121	3	2.55
113	12	3.08
99	12	2.81
130	3	2.72
106	3	2.26
100	5	2.3
138	12	3.56
142	5	3.1
95	6	2.28
