Chiều cao	Cân nặng
74.0cm	12.9kg
80.7cm	10.2kg
86.4cm	9.5kg
90.7cm	16.7kg
95.7cm	16.9kg
99.0cm	13.0kg
102.7cm	15.100000000000001kg
106.2cm	20.2kg
109.4cm	15.2kg
112.2cm	18.1kg
115.1cm	25.2kg
118.0cm	19.2kg
120.8cm	22.4kg
123.7cm	24.6kg
126.6cm	22.0kg
129.5cm	28.6kg
132.5cm	30.2kg
135.5cm	30.0kg
138.6cm	33.9kg
141.3cm	33.7kg
145.0cm	31.200000000000003kg
147.7cm	39.2kg
151.2cm	40.2kg
153.6cm	42.2kg
156.4cm	41.0kg
158.0cm	45.7kg
159.8cm	49.1kg
160.7cm	55.4kg
161.7cm	54.8kg
162.1cm	51.6kg
162.5cm	54.7kg
162.7cm	56.3kg
162.9cm	50.7kg
162.9cm	51.0kg
163.1cm	53.7kg
163.1cm	60.7kg
163.2cm	60.0kg
